Запрос,Цена,Дата,Источник,Строка
"список цен с источником, датой и ценой на ""Клин стопорный 375-2902579 УРАЛ NEXT рессора передняя""",201 р,23 июля 2025,az-ural.ru,"az-ural.ru. По данным на 23 июля 2025 года, цена —  201 руб., есть в наличии 280 шт.."
"список цен с источником, датой и ценой на ""Клин стопорный 375-2902579 УРАЛ NEXT рессора передняя""",182 р,25 июля 2025,rs-ural.ru,"rs-ural.ru. По информации на 25 июля 2025 года, цена —  182 руб. (с НДС 20%)."
"список цен с источником, датой и ценой на ""Клин стопорный 375-2902579 УРАЛ NEXT рессора передняя""",220 р,19 июля 2025,avtoall.ru,"avtoall.ru. По данным на 19 июля 2025 года, цена —  220 руб.."
"список цен с источником, датой и ценой на ""Элемент фильтрующий топливный PL 420 110-16-004 КамАЗ Евро в сборе""",1 640 р,,chipdip.ru,"chipdip.ru. Интернет-магазин предлагает товар со склада в Москве по цене 1 640 рублей, срок доставки — 4–5 дней."
"список цен с источником, датой и ценой на ""Элемент фильтрующий топливный PL 420 110-16-004 КамАЗ Евро в сборе""",1 369 р,,autotc.ru,autotc.ru. Предлагает товар по цене 1 369 рублей.
"список цен с источником, датой и ценой на ""Гвоздь 4*100""",127.60р,,bolt.ru,"bolt.ru. На сайте есть информация о строительных гвоздях размером 4х100 без покрытия с указанием цены за 1 кг (от 127,60 руб.) и веса упаковки (5 кг)."
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",217 р,,vseinstrumenti.ru,vseinstrumenti.ru: на сайте представлены цены на очиститель TN528382 — от 199 до 217 рублей.
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",222.6 р,,smartcomplect.com,"smartcomplect.com: очиститель в комплектации — 222,6 рубля, в опте — также 222,6 рубля."
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",130 р,,allmovement.ru,allmovement.ru: на сайте очиститель TN528382 представлен по цене 130 рублей (без НДС).
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",240 р,,chipdip.ru,chipdip.ru: в интернет-магазине очиститель TN528382 со склада в Москве — 240 рублей.
"список цен с источником, датой и ценой на ""(эталон код НМК 000000006995) Ремень 14*10-987 вентиляторный""",98.26 р,,rti63.ru,"rti63.ru. Ремень 14х10-987 в розницу —  98,26 руб./шт., при оптовой покупке от 50 000 руб. —  85,16 руб./шт., при крупном опте свыше 200 000 руб. —  78,61 руб./шт.. Цены указаны в рублях с учётом НДС 20%."
"список цен с источником, датой и ценой на ""(эталон код НМК 000000006995) Ремень 14*10-987 вентиляторный""",72.80 р,,kirelis.ru,"kirelis.ru. Ремень клиновой 14*10-987 HIMPT —  72,80 руб./шт. (опт.), 67,40 руб./шт. (опт.). Цены указаны в рублях с учётом НДС (20%)."
"список цен с источником, датой и ценой на ""Бензин АИ-92 (л)""",Цен не найдено,,,
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""",185р,,inter-safety.ru,"inter-safety.ru. Интернет-магазин средств защиты, спецодежды и рабочей обуви, предлагает рукавицы по цене 185 рублей (с учётом скидки 5%)."
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""",185р,,spets.ru,spets.ru. На сайте есть опция оптовой покупки рукавиц по цене 185 рублей.
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""",283р,,tkspecodegda.ru,"tkspecodegda.ru. Компания предлагает рукавицы по цене: розница — 283 рубля, опт — 202 рубля."
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""",158р,,nikos-instrument.ru,nikos-instrument.ru. Интернет-магазин предлагает рукавицы по цене 158 рублей.
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""",228р,,nks-co.ru,nks-co.ru. На сайте есть информация о розничной цене рукавиц — 228 рублей за штуку.
"список цен с источником, датой и ценой на ""Стартер редукторный StartVOLT LSt 0306 3M3-406, 409 ГАЗ, УАЗ 12В""",8 600 р,,uaz-motors.ru,uaz-motors.ru. На ресурсе представлен стартер STARTVOLT LSt0306 по цене 8 600 рублей.
"список цен с источником, датой и ценой на ""Стартер редукторный StartVOLT LSt 0306 3M3-406, 409 ГАЗ, УАЗ 12В""",8 419 р,24 июля 2025,bazashop.ru,"bazashop.ru. По состоянию на 24 июля 2025 года цена стартера STARTVOLT LSt0306 (406-3708000, 11.131.568) —  8 419 рублей."
