Запрос,Цена,Дата,Источник,Строка
"список цен с источником, датой и ценой на ""Клин стопорный 375-2902579 УРАЛ NEXT рессора передняя""",201 р,23 июля 2025,az-ural.ru,"az-ural.ru. По данным на 23 июля 2025 года, цена —  201 руб., есть в наличии 280 шт.."
"список цен с источником, датой и ценой на ""Клин стопорный 375-2902579 УРАЛ NEXT рессора передняя""",182 р,25 июля 2025,rs-ural.ru,"rs-ural.ru. По информации на 25 июля 2025 года, цена —  182 руб. (с НДС 20%)."
"список цен с источником, датой и ценой на ""Клин стопорный 375-2902579 УРАЛ NEXT рессора передняя""",220 р,19 июля 2025,avtoall.ru,"avtoall.ru. По данным на 19 июля 2025 года, цена —  220 руб.."
"список цен с источником, датой и ценой на ""Элемент фильтрующий топливный PL 420 110-16-004 КамАЗ Евро в сборе""",1 560 р,23 июля 2025,AvtoALL.Ru,"По данным на 23 июля 2025 года, цена фильтрующего элемента КАМАЗ ЕВРО (для PreLine PL 420) со стаканом в сборе MEGAPOWER (артикул 110-16-004) в интернет-магазине AvtoALL.Ru —  1 560 рублей."
"список цен с источником, датой и ценой на ""Элемент фильтрующий топливный PL 420 110-16-004 КамАЗ Евро в сборе""",1 640 р,,chipdip.ru,"chipdip.ru — 1 640 рублей, доставка со склада в Москве, срок — 4–5 дней."
"список цен с источником, датой и ценой на ""Элемент фильтрующий топливный PL 420 110-16-004 КамАЗ Евро в сборе""",1 369 р,,autotc.ru,autotc.ru — 1 369 рублей.
"список цен с источником, датой и ценой на ""Гвоздь 4*100""",Цен не найдено,,,
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",217 р,,vseinstrumenti.ru,vseinstrumenti.ru: на сайте представлены цены на очиститель TN528382 — от 199 до 217 рублей.
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",222.6 р,,smartcomplect.com,"smartcomplect.com: очиститель в комплектации — 222,6 рубля, в опте — также 222,6 рубля."
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",130 р,,allmovement.ru,allmovement.ru: на сайте очиститель TN528382 представлен по цене 130 рублей (без НДС).
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",240 р,,chipdip.ru,chipdip.ru: в интернет-магазине очиститель TN528382 продаётся по цене 240 рублей.
"список цен с источником, датой и ценой на ""(эталон код НМК 000000006995) Ремень 14*10-987 вентиляторный""",72.80р,,kirelis.ru,"kirelis.ru. Предлагает ремень клиновой 14*10-987 HIMPT по цене 72,80 руб. за шт. (оптовая цена: 67,40 руб.). Цены указаны в рублях с учётом НДС (20%)."
"список цен с источником, датой и ценой на ""Бензин АИ-92 (л)""",Цен не найдено,,,
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""",185р,,inter-safety.ru,"inter-safety.ru. Интернет-магазин средств защиты, спецодежды и рабочей обуви, предлагает рукавицы РУК 018 по цене 185 рублей (с учётом скидки 5%)."
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""",185р,,spets.ru,spets.ru. На сайте можно купить рукавицы РУК 018 оптом по цене 185 рублей.
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""",228р,,nks-co.ru,nks-co.ru. Интернет-магазин предлагает рукавицы РУК 018 по розничной цене 228 рублей за штуку (старая цена — 297 рублей).
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""",283р,,tkspecodegda.ru,tkspecodegda.ru. Компания предлагает рукавицы РУК 018 по розничной цене 283 рубля и оптовой — 202 рубля.
"список цен с источником, датой и ценой на ""Стартер редукторный StartVOLT LSt 0306 3M3-406, 409 ГАЗ, УАЗ 12В""",8 600 р,,uaz-motors.ru,uaz-motors.ru. На сайте представлен стартер STARTVOLT LSt0306 по цене 8 600 рублей.
"список цен с источником, датой и ценой на ""Стартер редукторный StartVOLT LSt 0306 3M3-406, 409 ГАЗ, УАЗ 12В""",8 419 р,24 июля 2025,bazashop.ru,"bazashop.ru. По состоянию на 24 июля 2025 года цена стартера STARTVOLT LSt0306 (406-3708000, 11.131.568) —  8 419 рублей."
"список цен с источником, датой и ценой на ""Бензогенератор сварочный SWATT PG5500WE 5кВт""",57 410 р,,megamarket.ru,megamarket.ru. На сайте представлена модель PG5500WE с ценой 57 410 рублей.
"список цен с источником, датой и ценой на ""Бензогенератор сварочный SWATT PG5500WE 5кВт""",61 990 р,,satom.ru,satom.ru. На ресурсе есть предложение генератора SWATT PG5500WE с силовой розеткой по цене 61 990 рублей (доставка в Москву).
