Запрос,Цена,Дата,Источник,Строка
"список цен с источником, датой и ценой на ""Клин стопорный 375-2902579 УРАЛ NEXT рессора передняя""","201 р, 2 026 р",23 июля 2025,az-ural.ru,"az-ural.ru. По данным на 23 июля 2025 года, цена клина —  201 руб., есть возможность заказать упаковку из 30 штук —  2 026 руб.."
"список цен с источником, датой и ценой на ""Клин стопорный 375-2902579 УРАЛ NEXT рессора передняя""","201 р, 2 026 р, 182 р",,az-ural.ru,az-ural.ru
"список цен с источником, датой и ценой на ""Клин стопорный 375-2902579 УРАЛ NEXT рессора передняя""",182 р,25 июля 2025,rs-ural.ru,"rs-ural.ru. По информации на 25 июля 2025 года, цена клина с гайкой и гровером —  182 руб. (с НДС 20%)."
"список цен с источником, датой и ценой на ""Клин стопорный 375-2902579 УРАЛ NEXT рессора передняя""","182 р, 220 р",,rs-ural.ru,rs-ural.ru
"список цен с источником, датой и ценой на ""Клин стопорный 375-2902579 УРАЛ NEXT рессора передняя""",220 р,19 июля 2025,avtoall.ru,"avtoall.ru. По данным на 19 июля 2025 года, цена клина —  220 руб.."
"список цен с источником, датой и ценой на ""Клин стопорный 375-2902579 УРАЛ NEXT рессора передняя""","220 р, 170.15 р, 193 р",,avtoall.ru,avtoall.ru
"список цен с источником, датой и ценой на ""Элемент фильтрующий топливный PL 420 110-16-004 КамАЗ Евро в сборе""",1 560 р,23 июля 2025,AvtoALL.Ru,"По данным на 23 июля 2025 года, цена фильтрующего элемента топливного PL 420 110-16-004 «КАМАЗ Евро» в сборе от производителя MEGAPOWER в интернет-магазине AvtoALL.Ru —  1 560 рублей."
"список цен с источником, датой и ценой на ""Элемент фильтрующий топливный PL 420 110-16-004 КамАЗ Евро в сборе""",1 560 р,,avtoall.ru,avtoall.ru
"список цен с источником, датой и ценой на ""Элемент фильтрующий топливный PL 420 110-16-004 КамАЗ Евро в сборе""",1 327 р,17 июля 2025,rvs-avto.ru,rvs-avto.ru: на 17 июля 2025 года цена элемента фильтрующего MEGAPOWER 11016004 со стаканом в сборе со склада «Москва» —  1 327 рублей.
"список цен с источником, датой и ценой на ""Элемент фильтрующий топливный PL 420 110-16-004 КамАЗ Евро в сборе""","1 327 р, 1 640 р",,rvs-avto.ru,rvs-avto.ru
"список цен с источником, датой и ценой на ""Элемент фильтрующий топливный PL 420 110-16-004 КамАЗ Евро в сборе""",1 640 р,17 июля 2025,chipdip.ru,chipdip.ru: на 17 июля 2025 года цена элемента фильтрующего MEGAPOWER 110-16-004 со склада в Москве —  1 640 рублей (срок доставки — 4–5 дней).
"список цен с источником, датой и ценой на ""Элемент фильтрующий топливный PL 420 110-16-004 КамАЗ Евро в сборе""","1 640 р, 1 615 р",,chipdip.ru,chipdip.ru
"список цен с источником, датой и ценой на ""Элемент фильтрующий топливный PL 420 110-16-004 КамАЗ Евро в сборе""",1 615 р,,ижас.рф,ижас.рф
"список цен с источником, датой и ценой на ""Гвоздь 4*100""","127.60р, 637.98р",,pulscen.ru,pulscen.ru
"список цен с источником, датой и ценой на ""Гвоздь 4*100""","127.60р, 637.98р",,bolt.ru,"bolt.ru. На сайте есть информация о строительных гвоздях размером 4х100 без покрытия по стандарту ГОСТ 4028 с указанием цены за 1 кг (от 127,60 руб.) и возможности покупки упаковкой 5 кг (637,98 руб.)."
"список цен с источником, датой и ценой на ""Гвоздь 4*100""","127.60р, 637.98р",,bolt.ru,bolt.ru
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",205 р,,stavtex.ru,stavtex.ru
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",217 р,,vseinstrumenti.ru,vseinstrumenti.ru: на сайте представлены цены на очиститель TN528382 — от 199 до 217 рублей.
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""","217 р, 222.6 р",,vseinstrumenti.ru,vseinstrumenti.ru
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",222.6 р,,smartcomplect.com,"smartcomplect.com: очиститель в комплектации — 222,6 рубля, в опте — также 222,6 рубля."
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""","222.6 р, 130 р",,smartcomplect.com,smartcomplect.com
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",130 р,,allmovement.ru,allmovement.ru: на сайте очиститель TN528382 представлен по цене 130 рублей (без НДС).
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""","130 р, 240 р",,allmovement.ru,allmovement.ru
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",240 р,,chipdip.ru,chipdip.ru: в интернет-магазине очиститель TN528382 продаётся по цене 240 рублей.
